카테고리,음식_링크,음식_이름,이미지_링크,필수재료,칼로리(kcal),탄수화물(g),단백질(g),총 지방(g)
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1288,순두부 카레,https://ottogi.okitchen.co.kr/pds/upfile/2022-02-21_397338068[23].jpg,"['오뚜기카레 약간 매운맛70g, 순두부200g, 감자1/2(90g), 당근 (90g), 양파1/4(50g), 다진 돼지고기150g, 애호박1/6(50g), 브로콜리4조각(40g), 우유400ml, 오뚜기 프레스코 카놀라유2T']",963.48,20.63,58.31,68.25
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1270,북어누룽지죽,https://ottogi.okitchen.co.kr/pds/upfile/2022-01-11_619427589[13].jpg,"['북어포 1개(60g), 오뚜기 옛날 구수한 누룽지 1봉 (60g), 다진마늘 1/2t, 오뚜기 멸치장국 1T, 오뚜기 순백 들기름 1T, 오뚜기 미향 1T, 소금 약간, 오뚜기 백후추 약간, 쪽파 ½줄기, 물 500ml']",273.2,26.6,20.9,8.1
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1256,닭고기유자조림덮밥,https://ottogi.okitchen.co.kr/pds/upfile/2021-11-17_589044872[1].jpg,"['닭다리살 3덩어리(250g), 소금 1/2t, 후추 1/3t, 오뚜기 미향 1T, 맛있는 오뚜기밥 2개(420g), 양파 ½개, 실파 1줄기, 계란 2개, 오뚜기 고소한참기름 1T', '아임스틱 유자차 1T, 다진 마늘 1t, 이금기 팬더 양간장 5T, 오뚜기 미향 5T, 물 200ml']",436.6,74.5,16.1,6.5
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1247,양배추 된장 쌈밥,https://ottogi.okitchen.co.kr/pds/upfile/2021-11-12_593749891[3].jpg,"['오뮤 곤라이스 버섯된장 130g1개, 양배추5장']",209,39,5.9,4.4
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1238,인도식 버터치킨카레,https://ottogi.okitchen.co.kr/pds/upfile/2021-10-20_995940866[13].jpg,"['오리지널카레파우더10g, 물100g, 오뚜기토마토스파게티소스200g, 닭다리살200g, 오메가3 버터20g, 방울 토마토 40g, 우유 60g, 양파 100g, 식용유 10g, 크러쉬드페퍼2g, 소금약간']",336.3,17.7,22,19
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1232,카레 토마토솥밥,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[29].jpg,"['불린 쌀2컵, 물2컵, 오뚜기카레 약간 매운맛2T, 토마토1개, 당근40g, 브로콜리40g, 표고버섯2개, 소금약간, 설탕약간, 프레스코 올리브유약간']",379.4,82.3,8,1.6
밥,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=2&s_orderby=new&idx=1223,반반 카레,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[11].jpg,"['오뚜기 3일숙성카레3조각, 양파2/3개, 쇠고기100g, 생크림 1/2컵, 토마토퓨레1컵, 오뚜기밥210g2개, 방울토마토3개', '대파5cm, 당근⅓개, 껍질콩4개, 페퍼론치노4개, 쪽파 또는 파슬리약간']",790.2,107.5,23.5,29.9
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1432,창녕갈릭 삼치조림,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[11].jpg,"['손질된 삼치 1마리(소), 무 4cm 한 토막, 창녕갈릭소이소스 25g, 대파 1/3대, 양파 1/3개, 굵은 고춧가루 약간, 오뚜기 연생강 5g, 청양고추 2개, 순후추, 약간 물 300g']",338.58,17.29,49.42,7.01
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1430,창녕갈릭 소불고기,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[7].jpg,"['불고기용 소고기 300g, 양파 1개, 창녕갈릭소이소스 80g, 대파 1/2대, 생강 2g, 물 50g, 후추 약간']",384.86,38.23,34.84,9.66
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1429,창녕갈릭 LA갈비 구이,https://ottogi.okitchen.co.kr/pds/upfile/2023-08-30_789447777[5].jpg,"['LA갈비 400g, 창녕갈릭소이소스 25g, 쪽파 소량']",638,27,38.6,39
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1382,토마토김치,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-21_52700194[3].jpg,"['토마토 1개(235g), 옛날 볶음참깨 약간, 양파 1/4개(50g), 쪽파 2줄기(15g), 오늘밥상 바로 무쳐먹는 겉절이양념 1봉(90g)']",141.4,29.6,3.8,1.5
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1379,칰햄 돈부리,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-11_489629280[5].jpg,"['칰햄 오리지널 1캔(200g), 간장 4T(40g), 양파 1개, 설탕 2T(20g), 계란 2개, 물 100ml, 대파 1대(80g), 오뚜기밥 2개, 청양고추 1개(10g), 고소한 참기름 1T, 옛날 볶음참깨 약간']",699.4,94.1,33,22.2
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1373,감자 짜글이,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[3].jpg,"['오늘밥상 송탄식 사골 부대찌개 양념 1봉(110g), 오뚜기햄 1캔(200g), 물 700ml 양파 1/2개(100g), 대파 2대(80g), 청양고추 2개(20g), 감자 2개(400g), 다진마늘 1T(20g), 고추장 1T(20g), 된장 1/3T(6g), 고춧가루 2T(15g), 황설탕 1T(7g), 이금기 시즈닝맛간장 2T(30g)']",405.4,14.32,18.81,16.09
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1371,콩나물전,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-24_1016200138[9].jpg,"['바삭한 부침가루 100g, 삼겹살양파절임소스 6T(50g),콩나물 65g, 다진마늘 1t(6g), 당근 1/10개(20g), 부추 5g, 물 150ml, 청양고추 1개(10g), 프레스코 카놀라유 3T(30g), 고소한 참기름 1T(10g), 옛날 볶음참깨 1/2T(1g), 고춧가루 1t(1g), 소금 1/3t(1g)']",402.03,39.7,12.26,21.24
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1370,X.O.만두전,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-24_1016200138[7].jpg,"['X.O.교자 김치 4알(145g), X.O.교자 4알(145g), 달걀 2개, 청양고추 1개(10g), 간장 4T(40g), 화이트 식초 2T, 고춧가루 1t(1g), 물 2T, 대파 20g, 설탕 2T(20g), 콩기름 3T(30g), 고소한 참기름 1t(10g)']",577.9,30.09,18.51,39.04
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1369,회오리 오이무침,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-24_1016200138[5].jpg,"['오이 1개(260g), 꽃소금 2/3T(5g), 대파 1/4대(20g), 양파 1/4개(50g), 옛날 볶음참깨 약간, 겉절이양념 1봉(90g), 고소한 참기름 1/2T']",163.61,28.64,4.04,4.26
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1368,만새강정,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-24_1016200138[3].jpg,"['오즈키친 칠리새우 1봉, 쫄깃한 쌀떡볶이떡 110g, 양념치킨소스 3T(45g), X.O.미니군만두고기 150g, 견과류 약간']",637.75,80.05,18.6,26.92
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1366,칰햄스틱,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-09_575674873[1].jpg,"['칰햄 오리지널 1캔(200g), 계란 2개, 튀김가루 60g, 빵가루 60g, 프레스코 압착올리브유 유탕용']",425.7,48.75,26.87,14.05
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1362,두부참치스테이크,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-08_361906995[1].jpg,"['가벼운 참치 더마일드 2캔 참깨돈까스소스 1통(290g), 빵가루 150g, 양파 1/2개(100g), 브로콜리 1/4개(50g), 옛날 볶음참깨 1T(4g), 고소한 참기름 1T(10g), 계란 2개, 다진마늘 2t(10g), 대파 1대(50g), 소금 2t(4g),순후추 1g, 프레스코 카놀라유 200g, 두부 3/5모(300g)']",627.35,38.23,21.34,42.59
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1361,두부시금치무침,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-07_148023181[1].jpg,"['참깨드레싱 1.5T(23g), 두부 30g, 시금치 4개(100g), 간장 1t(2g), 소금 약간, 옛날 볶음참깨 약간']",58.06,3.47,2.08,4.28
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1356,참치무조림,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625953[7].jpg,"['가벼운참치 라이트스탠다드2캔(135gX2), 무1개(1kg), 양파1개(200g), 청양고추3개(30g), 설탕1T(15g), 다진마늘2T(50g), 미향2T(20g), 굴소스2T(30g), 다진생강1/2t(3g), 고춧가루3T(21g), 순후추약간, 물1L, 멸치장국4T(40g), 고추장1T(25g), 옛날 볶음참깨약간, 향긋한 들기름2T']",296.18,34.56,17.98,10.56
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1349,새둥지 잡채전,https://ottogi.okitchen.co.kr/pds/upfile/2022-11-22_560625401[5].jpg,"['옛날잡채(75g)1봉, 계란2개, 오뚜기카레 약간매운맛1/3t(1g), 부침가루50g, 고소한 참기름1T, 프레스코 카놀라유2T']",769.4,83.26,24.94,36.86
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1338,흑초만두탕수,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115060389[17].jpg,"['X.O미니 군만두 고기1/2봉(230g), 8년숙성흑초2T(20g), 이금기중화시즈닝맛간장1T(10g), 코코넛후레이크1/2T(5g), 고구마1개(100g), 파인애플1슬라이스(70g), 설탕1T(10g), 전분물(전분:물=1:2)2T(20g), 물2T(20g)']",482.45,51.45,11.87,25.92
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1333,카레고구마전,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-28_115060389[7].jpg,"['오리지널카레파우더5g, 부침가루65g, 콩기름유탕용, 고구마1개(130g), 파슬리가루1g, 물95ml, 소금1g']",426.07,95.56,7.95,1.47
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1321,콩나물불고기,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[19].jpg,"['오늘밥상 제육볶음양념 1팩(150g), 돼지고기 앞다리살 300g, 콩나물 150g, 파채 50g, 옛날 볶음참깨 1T(5g), 참기름\t2T(20g)']",600.53,36.01,30.9,5.64
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1316,오징어 봄동무침,https://ottogi.okitchen.co.kr/pds/upfile/2022-07-01_786638811[9].jpg,"['오징어 2마리(340g), 미나리 15줄기(30g), 봄동 1개(130g), 바로 무쳐먹는 겉절이양념 1봉(90g), 다시마식초 2T(20g), 양파 1/4개(50g), 당근 1/5개(30g), 소금 1t(2g), 미향 발효맛술 2T(20g), 옛날 참기름 1T(10g)']",115.08,16.6,4.66,3.54
반찬,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=3&s_orderby=new&idx=1311,마요통삼겹구이,https://ottogi.okitchen.co.kr/pds/upfile/2022-06-21_153706342[7].jpg,"['골드 마요네스2T(30g), 통삼겹살500g, 소금1t(1g), 순후추약간, 생마늘9개(45g), 대파2대(250g), 로즈마리2줄기(20g)']",712.53,27.58,29.15,52.39
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1381,순두부돼지김치짜글이,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-21_52700194[1].jpg,"['청주식 돼지김치짜글이 1팩, 청양고추 1개(10g), 순두부 130g, 오뚜기 폭햄 200g, 양파 1/6개, 옛날 볶음참깨 약간']",324.72,10.7,22.35,21.2
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1380,토달토달 감자국,https://ottogi.okitchen.co.kr/pds/upfile/2023-04-11_489629280[7].jpg,"['토마토 1개(230g), 프레스코 압착 올리브유 2t(10g), 감자 1개(200g), 옛날 참기름 2t(10g), 마늘 3개(30g), 소금 1/2t, 쪽파 1줄기(7g), 순후추 약간, 멸치장국 5T(50g), 계란 1개, 물 1L']",248.2,26.9,7.9,12.5
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1376,카레 치즈라면,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[9].jpg,"['진라면 매운맛 1개(분말스프 1T), 3분카레(순한맛) 1봉, 슬라이스치즈 1장(20g), 물 550ml, 파슬리가루 약간']",337.2,102.96,20.54,24.84
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1373,감자 짜글이,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[3].jpg,"['오늘밥상 송탄식 사골 부대찌개 양념 1봉(110g), 오뚜기햄 1캔(200g), 물 700ml 양파 1/2개(100g), 대파 2대(80g), 청양고추 2개(20g), 감자 2개(400g), 다진마늘 1T(20g), 고추장 1T(20g), 된장 1/3T(6g), 고춧가루 2T(15g), 황설탕 1T(7g), 이금기 시즈닝맛간장 2T(30g)']",405.4,14.32,18.81,16.09
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1372,감자 스프,https://ottogi.okitchen.co.kr/pds/upfile/2023-03-07_752536584[1].jpg,"['크림스프 1/2봉(40g) 감자 1개(200g), 파슬리가루 약간 물 500ml, 양파 1/2개(100g), 순후추 약간, 무염버터 1T(15g), 식빵 1/4장(15g), 설탕 1/2T(7g) 소금 1/2t(1g)']",181.38,27.48,3.12,6.77
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1363,소고기토마토스튜,https://ottogi.okitchen.co.kr/pds/upfile/2023-02-08_361906995[3].jpg,"['지중해산토마토하이라이스 2조각(50g), 소고기(등심) 300g, 양파 1개(200g), 감자 1개(130g), 파프리카 1개(100g), 소금, 후추 약간, 다이스토마토(통조림) 60g 파슬리가루 약간, 프레스코 압착 올리브유  1T(15ml), 물 360ml, 바게트 빵 12조각(80g)']",625.99,39.24,21.51,41.12
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1258,토마토 스프,https://ottogi.okitchen.co.kr/pds/upfile/2021-11-17_589044872[9].jpg,"['오뚜기 카레 순한맛 1T, 양배추 1/6개, 토마토 2개, 양파 ½개, 대파 1대, 닭가슴살 1개 (150g), 오뚜기 순토마토퓨레 3T, 오뚜기 프레스코 올리브유 1T, 물 500ml, 오뚜기 토마토 케챂 1/2T, 소금 1t, 오뚜기 순후추 1/2t']",121.1,10.4,15.4,2.4
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1230,채황 비건만두전골,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[25].jpg,"['채황2봉지, 표고버섯3개, 그린가든 만두1봉지, 팽이버섯40g, 대파 , 느타리버섯1줌, 새송이버섯2개, 두부1/2모, 알배추1/4통, 무50g']",845,125,29.2,26.6
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1227,요즘미역냉국,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[19].jpg,"['오뚜기 요즘미역3g(2/3봉), 물1cup(180ml), 간편피클초(요리초) 500ml2T(18g), 오이1/8개', '오뚜기 옛날볶음참깨1/3t, , 홍고추1/3개']",29.4,5.6,1.9,0.7
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1224,사골우거지국,https://ottogi.okitchen.co.kr/pds/upfile/2021-09-03_177186357[13].jpg,"['오뚜기 옛날사골곰탕1봉, 데친 우거지100g, [500g], , 된장1/2T, 고춧가루1t, 다진 마늘1t, 들깨가루1/2T, 홍고추1/2개, 대파1/4대']",69.6,5.7,5.8,3.1
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1211,사골 김치찌개,https://ottogi.okitchen.co.kr/pds/upfile/2021-07-29_187310614[5].jpg,"['옛날 사골곰탕 350g1봉, 두부 1/2모150g, 대파10cm, 돼지고기 목살 150g, 김치 1/4 포기250g, 참기름 0.3T, 물90ml, 고춧가루0.7T, 다진 마늘0.5T, 홍고추1/2개']",127.6,4.7,8.6,7.9
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1197,마라 삼계탕,https://ottogi.okitchen.co.kr/pds/upfile/2021-06-26_856606119[19].jpg,"['오뚜기 옛날 삼계탕 1개, 청경채 1개, 오뚜기 이금기 훠궈 마라탕소스 3T,팽이버섯 1/4개, 오뚜기 옛날참깨 1t']",893.3,42.3,76.9,46.3
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1186,칠향계,https://ottogi.okitchen.co.kr/pds/upfile/2021-05-29_147251679[27].jpg,"['삼계탕용 닭 1마리, 말린 도라지 50g, 생강 1개, 대파 2대, 물 150ml', '오뚜기 쇠고기장국 5T, 오뚜기 멸치장국 5T, 오뚜기 현미식초 6T, 오뚜기 방앗간 참기름 5T, 오뚜기 백통후추 1/2T']",795.4,18.9,95.4,44.1
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1173,홍합토마토스튜,https://ottogi.okitchen.co.kr/pds/upfile/2021-05-29_147251679[1].jpg,"['홍합400g, 손질오징어1마, 새우4마리, 순토마토퓨레1.5컵, 물400ml, 양파1/2개', '마늘3톨, 청양고추1개, 올리브유2T, 소금약간, 파슬리약간, 후추약간']",465.8,63.2,15.7,17.9
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1112,얼큰수제비,https://ottogi.okitchen.co.kr/pds/upfile/2020-10-22_1018447081[9].jpg,"['오뚜기 오늘밥상 얼큰비법 매운탕양념 1개(110g), 물 800ml, 밀가루 2컵(250g), 물(반죽용) 150ml, 소금 1/3t, 오뚜기 콩기름 1/2T', '감자 1개, 대파 1/3대, 양파 1/2개, 애호박 1/3개, 청양고추 1/2개, 홍고추 1개']",449.8,83.6,16.6,3.6
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1111,얼큰홍합탕,https://ottogi.okitchen.co.kr/pds/upfile/2020-10-22_1018447081[11].jpg,"['홍합 600g, 오뚜기 얼큰비법 매운탕양념 1개(110g), 물 700ml, 양파 1개, 다진마늘 1T, 오뚜기 옛날 고추맛기름 1T', '청양고추 1개, 홍고추 1개']",62.7,2.3,7.2,2.6
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1110,순두부쫄면,https://ottogi.okitchen.co.kr/pds/upfile/2020-10-22_1018447081[25].jpg,"['순두부 1봉(350g), 오뚜기 생쫄면사리 1/4봉(200g), 오뚜기 오늘밥상 순두부찌개양념 1봉(90g), 물 400ml', '양파 1/2개, 애호박 1/3개, 대파 1/4대, 다진 마늘 1t, 오뚜기 식용유(콩기름) 2T']",478.3,87.8,15.9,5.2
국물,https://ottogi.okitchen.co.kr/category/detail.asp?page=1&s_cate1=1&s_cate2=4&s_orderby=new&idx=1105,만두전골,https://ottogi.okitchen.co.kr/pds/upfile/2020-10-22_1018444906[11].jpg,"['오뚜기 X.O.굴림만두 10개, 오뚜기 옛날 사골곰탕 500g, 속배추 150g, 느타리버섯 100g, 채썬 쇠고기 100g, 오뚜기 소불고기 양념 1T, 대파 1대', '고춧가루 2T, 고추장 1T, 이금기 팬더양조간장 1T, 오뚜기 미향 1T, 다진마늘 1/2T, 오뚜기 순후추 약간']",412.8,34.4,15.8,17.9
