식품명,대표식품명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g)
어묵국,어묵국,100g,31,92.8,1.49,1.03,3.83
오징어국,오징어국,100g,18,95.4,2.22,0.73,0.73
육개장,육개장,100g,30,93,3.68,0.99,1.49
육개장_닭고기,육개장,100g,20,94.7,2.74,0.42,1.41
장어탕,장어탕,100g,67,86.8,4.32,3.91,3.68
재첩국,재첩국,100g,23,94,0.67,0.29,4.54
조개국,조개국,100g,16,96.3,1.67,0.89,0.25
콩나물국,콩나물국,100g,6,97.9,0.74,0.09,0.61
토란국,토란국,100g,16,95.6,1,0.12,2.61
해장국_뼈다귀,해장국,100g,26,93.7,3.19,0.97,1.06
해장국_선지,해장국,100g,29,93,3.86,0.96,1.23
갈치찌개,갈치찌개,100g,38,91,5.27,1,1.95
감자탕,감자탕,100g,71,86.2,6.31,4.06,2.27
김치전골,김치전골,100g,73,85.5,3.12,4.23,5.68
김치찌개_꽁치,김치찌개,100g,89,83,7.14,5.18,3.54
김치찌개_돼지고기,김치찌개,100g,45,91.1,4.25,2.71,1.04
김치찌개_어묵,김치찌개,100g,38,90.1,1.82,0.59,6.31
김치찌개_참치,김치찌개,100g,51,89.4,3.59,2.82,2.9
김치찌개_햄,김치찌개,100g,31,92.5,1.47,1.39,3.17
된장국_우거지,된장국,100g,20,94.9,2.77,0.59,0.82
된장국_콩나물,된장국,100g,31,92.4,2.58,1.11,2.62
된장국_해물,된장국,100g,28,92.9,2.1,0.98,2.68
된장국_호박,된장국,100g,31,92.4,3.34,1.31,1.41
된장국_호박잎,된장국,100g,7,98.2,0.4,0.32,0.54
무국_소고기,무국,100g,15,96.3,1.33,0.64,1.1
무국_홍합,무국,100g,25,95.4,0.79,2.03,0.86
묵국_메밀묵,묵국,100g,22,94.3,1,0.4,3.57
미역국,미역국,100g,12,97.2,0.65,0.61,0.87
미역국_대합,미역국,100g,11,96,1.23,0.45,0.56
미역국_새우,미역국,100g,16,96.5,1.09,0.46,1.83
미역국_소고기,미역국,100g,13,96.5,1.86,0.26,0.82
배추국_소고기,배추국,100g,16,95.7,1.84,0.41,1.14
북어국,북어국,100g,28,93.5,3.89,0.98,0.84
사골국,사골국,100g,55,88.9,5.56,2.42,2.81
삼계탕,삼계탕,100g,101,80,10.68,4.8,3.84
새우탕,새우탕,100g,33,91.1,5.17,0.44,2
설렁탕,설렁탕,100g,24,94.7,4.26,0.58,0.36
순대국,순대국,100g,85,79.9,2.35,1.75,14.95
굴국_무,굴국,100g,25,93.4,2.41,0.36,2.93
김치국,김치국,100g,23,94.4,1.34,0.76,2.63
김치국_콩나물,김치국,100g,12,96.8,0.82,0.47,1.15
내장탕,내장탕,100g,71,87.2,5.82,4.52,1.68
냉국_미역,냉국,100g,37,90.8,0.19,0.67,7.51
냉국_미역_오이,냉국,100g,6,97.7,0.37,0.15,0.85
달걀국,달걀국,100g,13,97,0.93,0.74,0.69
달걀탕_순두부,달걀탕,100g,29,94.7,1.78,2.04,0.94
닭곰탕,닭곰탕,100g,51,88.2,7.51,1.42,2
도가니탕,도가니탕,100g,40,90,8.35,0.33,0.82
된장국_감자,된장국,100g,25,93.4,1.09,0.6,3.7
된장국_냉이,된장국,100g,22,94.6,1.71,0.66,2.2
된장국_미역,된장국,100g,24,94.1,1.56,0.97,2.28
된장국_배추,된장국,100g,20,94.7,1.46,0.4,2.58
된장국_시금치,된장국,100g,9,96.8,1.02,0.17,0.98
된장국_시래기,된장국,100g,15,95.7,1.31,0.22,2.03
된장국_쑥,된장국,100g,15,95.8,1.22,0.47,1.52
된장국_아욱,된장국,100g,20,94.4,2.28,0.56,1.59
된장국_얼갈이배추,된장국,100g,9,97.3,0.5,0.41,0.85
월남쌈,월남쌈,100g,118,76.1,5.94,4.97,12.25
자장면,자장면,100g,88,79.8,2.69,2.22,14.37
짬뽕,짬뽕,100g,58,86.7,2.79,1.54,8.26
쫄면,쫄면,100g,129,70,3.21,2.52,23.26
칼국수,칼국수,100g,77,80.5,3.3,0.49,14.9
칼국수_바지락,칼국수,100g,82,79.2,3.43,0.53,15.97
콩국수,콩국수,100g,81,83.3,3.9,3.35,8.92
닭죽,닭죽,100g,44,89.2,2.68,0.57,7.14
스프_양송이버섯,스프,100g,105,81.6,2.41,7.04,8.06
오리죽,오리죽,100g,155,67.1,7.5,4.99,19.95
전복죽,전복죽,100g,79,84.4,1.82,3.73,9.62
채소죽,채소죽,100g,43,89.1,1.69,0.69,7.62
팥죽,팥죽,100g,81,79.3,3.17,0.19,16.66
호박죽,호박죽,100g,49,89,1.93,1.71,6.58
흑임자죽,흑임자죽,100g,61,89.9,1.1,4.73,3.64
갈비탕,갈비탕,100g,54,88.2,8.51,2.06,0.4
감자국,감자국,100g,21,94.4,0.9,0.26,3.67
곰탕,곰탕,100g,24,94.9,3.43,1.12,0.11
곰탕_우거지,곰탕,100g,25,93.6,2.37,0.6,2.6
국수_쟁반막국수,국수,100g,119,74,6.68,4.56,12.81
냉면_물냉면,냉면,100g,55,86.5,1.96,0.64,10.31
냉면_비빔냉면,냉면,100g,100,77.4,5.67,2.64,13.35
냉면_회냉면_홍어,냉면,100g,148,67.1,5.81,4.02,22.21
떡국,떡국,100g,84,79,3.43,0.53,16.37
떡만두국,떡만두국,100g,111,76.3,3.53,3.91,15.47
라면,라면,100g,82,81.5,1.72,2.28,13.65
라면_달걀,라면,100g,108,76.3,2.61,3.18,17.33
라면_떡,라면,100g,96,78.9,2.04,2.92,15.27
만두_고기만두,만두,100g,159,64.8,12.38,4.45,17.4
만두_군만두,만두,100g,234,54.4,7.03,11.5,25.57
만두_김치만두,만두,100g,152,66.4,10.24,4.76,17.02
만두_물만두,만두,100g,195,64,8.06,11.13,15.61
만두국_사골,만두국,100g,87,82.2,3.74,4,8.94
메밀국수_온면,메밀국수,100g,63,83.9,3.14,0.29,12.06
수제비,수제비,100g,58,85.4,2.31,0.52,11.08
스파게티_미트볼,스파게티,100g,180,65.2,7.34,8.88,17.62
우동_일식,우동,100g,158,64,1.78,3.22,30.48
우동볶음,우동볶음,100g,128,69.5,2.8,2.01,24.79
식빵,식빵,100g,264,35.2,9.34,2.6,50.91
초코소라빵,초코소라빵,100g,319,32.9,3.29,10.93,51.76
츄러스,츄러스,100g,361,22.7,6.6,11.29,58.17
카스텔라,카스텔라,100g,335,29.9,10.03,11.47,47.99
케이크_롤케이크,케이크,100g,312,36.1,7.36,11.83,44.01
케이크_생크림케이크,케이크,100g,237,55.7,3.45,12.54,27.62
크로와상,크로와상,100g,446,20.6,7.52,26.98,43.31
파이/만주_사과파이,파이/만주,100g,185,57.9,2.54,3.91,34.83
페이스트리,페이스트리,100g,466,19.3,8.31,29.66,41.5
피자_콤비네이션피자,피자,100g,274,47.4,10.68,14.36,25.54
피자빵,피자빵,100g,298,42.1,8.85,15.05,31.76
햄버거,햄버거,100g,264,49.8,12.85,13.98,21.67
햄버거_불고기버거,햄버거,100g,250,50.6,13.88,11.52,22.68
호떡_견과류,호떡,100g,314,29.7,5.41,7.07,57.12
간자장,간자장,100g,125,73.3,5.12,4.89,15.13
국수_막국수,국수,100g,133,67.2,5.8,1.61,23.9
국수_비빔국수,국수,100g,102,74.6,3.01,0.95,20.47
국수_잔치국수,국수,100g,44,88.9,1.93,0.49,8.05
시루떡,시루떡,100g,224,45.3,3.77,1.85,48.13
약식,약식,100g,220,47.2,4.21,2.45,45.24
인절미,인절미,100g,242,41,5.64,2.16,50.07
절편_쑥,절편,100g,192,54.3,7.72,2.42,34.87
증편,증편,100g,200,50.7,3.17,1.2,44.15
찹쌀떡_팥,찹쌀떡,100g,295,29,5.06,2.53,62.93
도넛_링도넛,도넛,100g,515,10.9,7.85,33.17,46.16
도넛_찹쌀,도넛,100g,288,32.8,6,4.64,55.56
마늘빵,마늘빵,100g,438,10.6,12.06,17.58,57.94
머핀,머핀,100g,384,20,5.73,13.84,59.15
모닝빵,모닝빵,100g,314,29.3,9.5,7.43,52.17
모카빵,모카빵,100g,339,23.9,8.55,8.05,57.96
베이글,베이글,100g,306,28.5,10,5.83,53.48
샌드위치_닭가슴살,샌드위치,100g,240,53.2,12.18,11.92,20.96
샌드위치_모듬,샌드위치,100g,193,67.2,9.5,13.44,8.44
샌드위치_참치,샌드위치,100g,202,62.7,10.54,11.65,13.78
샌드위치_채소,샌드위치,100g,244,55.8,4.08,14.75,23.82
샌드위치_햄_달걀,샌드위치,100g,220,57.6,12.44,11.92,15.64
소보로빵,소보로빵,100g,392,19.6,8.27,15.13,55.63
주먹밥_소고기,주먹밥,100g,178,57.3,4.76,2.18,34.73
짬뽕밥,짬뽕밥,100g,72,82.8,3.2,1.4,11.65
차조밥,차조밥,100g,157,61.5,2.84,0.65,34.86
찰밥,찰밥,100g,153,61.4,4.39,0.18,33.56
초밥_모듬,초밥,100g,160,61.2,9.66,1.59,26.72
초밥_유부초밥,초밥,100g,194,57.4,5.78,5.77,29.82
카레라이스,카레라이스,100g,108,73.9,3.11,1.4,20.74
콩나물밥,콩나물밥,100g,123,70.1,4.68,1.58,22.39
콩밥_검정콩,콩밥,100g,165,59.7,4.53,1.12,34.3
콩밥_완두콩,콩밥,100g,138,64.6,2.95,0.16,31.25
하이라이스,하이라이스,100g,112,72.7,4.02,1.13,21.34
현미밥,현미밥,100g,172,57.2,3.1,0.47,38.9
회덮밥_모듬,회덮밥,100g,145,68,9.1,4.15,17.76
가래떡,가래떡,100g,195,51.1,3.92,0.51,43.73
경단_깨,경단,100g,240,47.3,6.28,6.72,38.58
꿀떡,꿀떡,100g,228,44.2,3.74,1.73,49.48
모듬찰떡,모듬찰떡,100g,218,47.4,6.78,2.44,42.27
백설기,백설기,100g,230,43.8,3.71,1.45,50.4
송편_깨,송편,100g,219,48.3,4.65,3.23,42.83
볶음밥,볶음밥,100g,183,56.9,5.56,2.76,33.97
볶음밥_계란,볶음밥,100g,225,56.6,6.62,11.28,24.23
볶음밥_김치,볶음밥,100g,167,68.1,5.32,9.18,15.74
볶음밥_새우,볶음밥,100g,172,64.1,6.31,6.14,22.85
볶음밥_소고기,볶음밥,100g,176,63.2,7.59,6.48,21.76
볶음밥_참치,볶음밥,100g,180,57.4,4.62,3.27,32.9
볶음밥_채소,볶음밥,100g,182,59.7,4.72,5.39,28.74
볶음밥_표고버섯,볶음밥,100g,184,58.9,3.36,4.81,31.79
비빔밥,비빔밥,100g,142,68.9,6.86,4.32,18.84
비빔밥_돌솥,비빔밥,100g,147,65.7,5.39,2.95,24.68
비빔밥_육회,비빔밥,100g,147,65.7,6.39,3.36,22.92
삼각김밥_참치마요네즈,삼각김밥,100g,199,59.6,5.93,8.21,25.45
수수밥,수수밥,100g,161,60.8,3.16,0.92,35.02
알밥,알밥,100g,128,72.8,4.73,5.11,15.75
영양돌솥밥,영양돌솥밥,100g,184,57.4,3.43,2.87,36.06
오므라이스,오므라이스,100g,173,64.3,6.5,7.23,20.54
자장밥,자장밥,100g,122,74.4,4.27,4.72,15.57
잡곡밥,잡곡밥,100g,146,63.9,5.3,0.87,29.33
잡채밥,잡채밥,100g,150,65.8,4.02,3.42,25.79
국밥_돼지머리,국밥,100g,137,71.6,6.7,5.16,15.94
국밥_순대국밥,국밥,100g,75,83.7,3.17,2.28,10.38
국밥_콩나물,국밥,100g,52,86.8,1.45,0.24,10.93
기장밥,기장밥,100g,166,59.1,3.44,0.57,36.77
김밥,김밥,100g,140,69.5,4.84,4.55,19.98
김밥_김치,김밥,100g,130,71.2,4.3,4.03,19.17
김밥_날치알,김밥,100g,177,59.8,6.1,4.26,28.66
김밥_돈가스,김밥,100g,202,55.8,5.77,5.81,31.64
김밥_소고기,김밥,100g,179,61.2,6.46,5.56,25.78
김밥_참치,김밥,100g,174,64.2,7,7.22,20.26
김밥_채소,김밥,100g,158,63.8,4.6,3.65,26.65
김밥_치즈,김밥,100g,177,63.3,6.24,7.03,22.1
김밥_풋고추,김밥,100g,169,61.9,4.88,4.41,27.52
덮밥_낙지,덮밥,100g,150,65.9,5.88,3.34,24.12
덮밥_닭고기,덮밥,100g,125,70.8,11.4,2.18,14.82
덮밥_돼지고기(제육),덮밥,100g,202,62,9.43,10.77,16.86
덮밥_불고기,덮밥,100g,182,60.2,6.6,5.31,26.96
덮밥_오징어,덮밥,100g,135,68.1,7.18,2.01,21.94
보리밥,보리밥,100g,161,59.9,2.9,0.24,36.77
꽃게탕,꽃게탕,100g,17,95.5,1.86,0.41,1.44
낙지전골,낙지전골,100g,51,87,6.5,1.14,3.72
동태국,동태국,100g,17,95.2,2.42,0.16,1.4
동태찌개,동태찌개,100g,44,89.6,6.11,1.37,1.72
돼지고기찌개,돼지고기찌개,100g,48,88.9,6.25,1.51,2.26
된장찌개,된장찌개,100g,46,89.3,3.38,1.63,4.44
된장찌개_냉이,된장찌개,100g,19,94.9,1.17,0.31,2.91
된장찌개_달래,된장찌개,100g,35,90.3,3.18,0.79,3.81
된장찌개_두부,된장찌개,100g,41,90.7,3.25,1.96,2.56
콩비지찌개,콩비지찌개,100g,69,85.2,6.74,3.08,3.57
호박찌개_고추장,호박찌개,100g,41,90,2.08,0.99,5.96
고구마_찐고구마,고구마,100g,139,64.6,1.67,0.24,32.47
가오리찜,가오리찜,100g,102,75.7,21.99,1.39,0.46
갈비찜_소고기,갈비찜,100g,85,81.2,7.25,3.17,6.95
감자_찐감자,감자,100g,70,81.6,2.16,0.16,15.01
깻잎찜,깻잎찜,100g,97,79.7,5.21,5.86,5.96
꼬막찜,꼬막찜,100g,96,76,12.03,2.28,6.97
꽈리고추찜,꽈리고추찜,100g,104,75.2,3.59,2.09,17.69
달걀찜_새우젓,달걀찜,100g,58,89.7,4.98,4.04,0.47
달걀찜_우유,달걀찜,100g,105,80.4,8.23,6.31,3.8
닭찜,닭찜,100g,107,80.1,12.37,6.09,0.6
돼지갈비찜,돼지갈비찜,100g,194,64.9,13.29,12.32,7.44
된장찌개_바지락,된장찌개,100g,23,93.8,2.88,0.72,1.18
두부찌개_고추장,두부찌개,100g,52,89.1,4.01,2.63,3.18
두부찌개_소고기_고추장,두부찌개,100g,58,86.3,4.56,1.42,6.73
두부찌개_소고기_된장,두부찌개,100g,55,87.7,5.71,1.98,3.5
매운탕_대구,매운탕,100g,22,93.9,4.49,0.4,0.19
매운탕_해물,매운탕,100g,35,90.7,4.85,0.64,2.51
버섯전골,버섯전골,100g,78,84.6,5.14,4.24,4.78
부대찌개,부대찌개,100g,123,76.2,5.86,6.49,10.27
샤브샤브_버섯,샤브샤브,100g,30,93.1,3.88,0.9,1.57
샤브샤브_소고기,샤브샤브,100g,43,90.5,5.38,1.62,1.8
소고기전골,소고기전골,100g,63,87.1,7.89,3.24,0.46
순두부찌개_김치,순두부찌개,100g,35,92.6,2.98,1.59,2.17
알탕,알탕,100g,39,90.1,6.37,0.74,1.74
오리백숙,오리백숙,100g,112,80.6,10.59,7.5,0.5
오리탕,오리탕,100g,121,76.4,9.5,6.56,6.08
오징어찌개,오징어찌개,100g,34,90.5,3.3,0.22,4.77
청국장찌개,청국장찌개,100g,47,89.8,5.03,2.11,1.92
추어탕,추어탕,100g,54,89.4,3.24,3.18,3.07
사태찜_소고기,사태찜,100g,110,77.8,12.1,5.17,3.67
수육_소고기,수육,100g,166,63.8,28.43,4.94,2.04
순대,순대,100g,187,56.2,2.75,3.64,35.73
아귀찜,아귀찜,100g,84,81.3,6.72,3.13,7.26
애호박찜,애호박찜,100g,181,61.9,9.5,6.48,21.18
옥수수_찐옥수수,옥수수,100g,185,55.3,6.68,2.42,34.2
족발,족발,100g,233,56.2,26.04,13.91,0.93
코다리찜,코다리찜,100g,94,75.6,14.49,1.35,6.08
콩나물찜_해물,콩나물찜,100g,56,86.2,6.67,1.01,4.97
풋고추찜,풋고추찜,100g,51,85.9,2.31,0.99,8.27
가자미구이,가자미구이,100g,123,73.6,18.7,5.02,0.66
갈비구이_소고기,갈비구이,100g,241,56.1,25.91,14.55,1.59
갈치구이_기름,갈치구이,100g,138,70.6,21.54,5.48,0.6
고등어구이_석쇠,고등어구이,100g,340,45.9,23.38,25.69,3.79
곱창구이_소고기,곱창구이,100g,184,64.8,14.89,11.73,4.71
김구이_조미김,김구이,100g,470,2.2,20.4,30.2,29
꼬치구이_닭고기_대파,꼬치구이,100g,245,55.2,17.85,14.7,10.35
닭구이,닭구이,100g,257,49.9,26.21,13.39,7.8
닭발구이,닭발구이,100g,196,59.9,18.15,9.41,9.7
떡갈비,떡갈비,100g,202,62.4,21.38,11.82,2.46
런천미트구이,런천미트구이,100g,303,51.4,17.56,24.38,3.27
뱅어포구이,뱅어포구이,100g,374,18.4,34.37,15.17,25.07
버섯구이,버섯구이,100g,52,86.6,5.16,1.38,4.78
버섯구이_새송이버섯,버섯구이,100g,84,79.8,4.29,2.21,11.66
버섯구이표고버섯,버섯구이표고버섯,100g,100,74.3,4.34,1.06,18.14
삼겹살구이,삼겹살구이,100g,467,33,22.56,41.69,0.35
삼겹살구이_고추장,삼겹살구이,100g,403,38.2,14.21,32.83,12.63
삼치구이,삼치구이,100g,178,66.2,21.42,9.57,1.45
새우구이,새우구이,100g,145,67.5,23.41,4.44,2.82
소불고기,소불고기,100g,170,67.9,16.41,9.66,4.26
스테이크_소등심,스테이크,100g,194,60.4,30.22,8.07,0.14
스테이크_소안심,스테이크,100g,183,58.9,34.82,4.83,0.13
오리고기구이,오리고기구이,100g,293,48.8,24.06,19.7,4.89
오리불고기,오리불고기,100g,145,73.4,6.75,9.05,9.05
장어구이_고추장,장어구이,100g,259,55,19.82,17.21,6.18
조개구이_키조개,조개구이,100g,130,67.6,17.43,2.07,10.44
조기구이,조기구이,100g,177,65.3,19.33,10.86,0.44
참치구이_머리,참치구이,100g,193,61.1,26.56,8.98,1.4
치킨데리야끼,치킨데리야끼,100g,208,58,16.54,9.01,15.21
함박스테이크,함박스테이크,100g,174,69,12.1,10.73,7.19
가지전,가지전,100g,123,76.8,5.48,7.28,8.88
감자전,감자전,100g,133,73.5,1.72,6.54,16.79
고구마전,고구마전,100g,227,52.2,2.92,7.98,35.99
김치전,김치전,100g,134,70.4,5.05,4.2,19.01
달걀말이,달걀말이,100g,193,66.5,17.21,13.21,1.45
달걀부침(달걀후라이),달걀부침(달걀후라이),100g,208,64.4,15.73,13.78,5.15
달걀부침(달걀후라이)_햄,달걀부침(달걀후라이),100g,277,55.7,12.71,21.59,8.06
두부부침,두부부침,100g,140,75.4,10.92,9.77,2.07
맛살전,맛살전,100g,165,64.5,7.48,6.24,19.69
메밀전,메밀전,100g,161,59.6,4.02,0.64,34.79
버섯전_표고버섯,버섯전,100g,181,65.7,10.13,9.98,12.74
부추전,부추전,100g,167,62.3,4.63,4.17,27.86
산적_돼지고기,산적,100g,200,58.5,29.06,8.56,1.55
스크램블드에그,스크램블드에그,100g,216,66.6,11.81,17.59,2.56
애호박전,애호박전,100g,122,79.1,4.35,8.62,6.73
완자전_돼지고기,완자전,100g,139,69.9,14.78,5.95,6.51
완자전_소고기,완자전,100g,162,67.8,18.73,7.56,4.68
완자전_참치,완자전,100g,173,63.2,15,6.49,13.57
완자전_해물,완자전,100g,222,57.1,11.46,11.61,18.04
채소전,채소전,100g,145,68.3,3.57,4.5,22.59
파전_해물,파전,100g,171,66.7,5.5,8.4,18.29
감자볶음,감자볶음,100g,100,79.6,1.75,4.84,12.41
감자볶음_채소,감자볶음,100g,108,78.2,2.04,5.22,13.1
건새우볶음,건새우볶음,100g,304,28.1,41.55,12.95,5.4
곱창볶음_돼지고기,곱창볶음,100g,130,70.2,7.23,3,18.52
김치볶음,김치볶음,100g,106,81.2,1.38,7.94,7.27
김치볶음_참치,김치볶음,100g,122,75.8,8.33,6.68,7.12
낙지볶음,낙지볶음,100g,91,79.9,5.77,3.77,8.6
닭발볶음,닭발볶음,100g,186,62.3,13.8,9.38,11.72
닭볶음(닭갈비),닭볶음(닭갈비),100g,186,65.5,13.98,10.96,7.93
닭볶음(닭갈비)_닭가슴살_피망,닭볶음(닭갈비),100g,122,74.4,16.39,5.65,1.38
당근볶음,당근볶음,100g,95,83.6,0.93,6.63,7.79
돼지고기볶음_김치,돼지고기볶음,100g,161,70.1,11.81,10.05,5.93
돼지고기볶음_채소,돼지고기볶음,100g,169,65.6,16.57,7.59,8.63
돼지고기볶음(제육볶음),돼지고기볶음(제육볶음),100g,195,67,12.15,14.19,4.73
떡볶이,떡볶이,100g,144,66.3,3.51,2.96,25.96
떡볶이_채소,떡볶이,100g,258,37,3.12,1.88,57.06
라볶이,라볶이,100g,134,71.2,2.83,4.71,20.14
마늘쫑볶음,마늘쫑볶음,100g,89,78.8,3.25,2.54,13.17
마늘쫑볶음_멸치,마늘쫑볶음,100g,117,71.7,7.54,2.78,15.42
마파두부,마파두부,100g,109,79.3,7.29,6.48,5.36
멸치볶음,멸치볶음,100g,276,27.5,39.44,7.08,13.62
멸치볶음_견과류,멸치볶음,100g,414,17.7,30.4,24.32,18.36
멸치볶음_꽈리고추,멸치볶음,100g,253,47.4,23.62,14.08,7.96
멸치볶음_마늘쫑,멸치볶음,100g,277,32.4,32.4,10.84,12.42
멸치볶음_풋고추,멸치볶음,100g,190,54,20.62,6,13.3
문어볶음_고추장,문어볶음,100g,88,77.5,10.97,1.02,8.62
미역줄기볶음,미역줄기볶음,100g,77,86.8,0.96,5.95,4.85
버섯볶음_느타리,버섯볶음,100g,94,82.5,2.8,6.2,6.78
버섯볶음_새송이버섯,버섯볶음,100g,121,78.3,2.95,8.03,9.29
브로콜리볶음,브로콜리볶음,100g,51,87.6,4.42,1.28,5.53
삼겹살볶음_묵은지김치,삼겹살볶음,100g,151,72.9,5.76,10.49,8.4
새우볶음,새우볶음,100g,83,80.5,9.91,2.21,5.96
소고기볶음_고추장,소고기볶음,100g,197,62,14.36,10.79,10.7
소고기볶음_버섯,소고기볶음,100g,144,72,11.59,7.73,6.92
소고기볶음_채소,소고기볶음,100g,126,73.9,12.8,5.4,6.44
소시지볶음,소시지볶음,100g,280,51.7,11.94,19.38,14.41
애호박볶음,애호박볶음,100g,59,88,1.32,3.62,5.3
양파볶음,양파볶음,100g,56,86.9,0.99,1.54,9.51
어묵볶음,어묵볶음,100g,197,57.6,8.41,7.29,24.33
어묵볶음_채소,어묵볶음,100g,152,67.8,6.33,6.41,17.2
오징어볶음,오징어볶음,100g,128,74.5,9.85,6.52,7.43
유산슬,유산슬,100g,86,82.9,7.54,4.4,4.1
잔멸치볶음_견과류,잔멸치볶음,100g,388,24.2,24.34,22.22,22.64
잔멸치볶음_꽈리고추,잔멸치볶음,100g,293,43.2,24.78,17.48,9.24
잔멸치볶음_풋고추,잔멸치볶음,100g,256,38.9,28.24,8.32,16.94
잔멸치볶음_홍고추_풋고추,잔멸치볶음,100g,228,44.1,33.28,8,5.72
잡채,잡채,100g,146,66.3,4.71,3.3,24.26
잡채_어묵,잡채,100g,148,66.4,2.34,3.78,26.13
잡채_콩나물,잡채,100g,67,82.6,1.93,0.97,12.55
죽순볶음_소고기,죽순볶음,100g,120,75.9,13.68,5.59,3.78
팔보채,팔보채,100g,90,78,12.42,2.9,3.42
풋고추볶음,풋고추볶음,100g,70,85.5,1.93,3.23,8.25
햄볶음_채소,햄볶음,100g,183,65.9,10.47,11.37,9.6
감자조림,감자조림,100g,114,74.1,2.4,3.52,18.1
고등어조림,고등어조림,100g,141,73.9,11.25,8.84,4.1
꽁치조림,꽁치조림,100g,244,59.6,15.52,17.87,5.14
닭볶음탕,닭볶음탕,100g,111,74.7,11.91,3.22,8.52
닭조림,닭조림,100g,197,62.4,18.03,10.9,6.57
닭조림_고추장,닭조림,100g,152,69.1,9.12,6.94,13.25
두부조림,두부조림,100g,143,75,9.64,9.66,4.4
땅콩조림,땅콩조림,100g,483,21.7,18.75,36.4,19.95
멸치조림,멸치조림,100g,318,22.8,40.92,13.22,8.93
무조림,무조림,100g,48,88.2,2.26,2.38,4.29
미트볼조림,미트볼조림,100g,221,56.5,18.15,10.73,12.95
버섯조림,버섯조림,100g,60,85.8,4.38,2,6.23
병어조림,병어조림,100g,112,74.9,12.46,4.78,4.87
삼치조림,삼치조림,100g,125,73.7,15.88,5.63,2.61
양미리조림,양미리조림,100g,65,81.7,5.76,0.66,9.09
어묵조림,어묵조림,100g,159,64.5,5.83,4.73,23.16
연근조림,연근조림,100g,174,60.3,2.68,5.1,29.42
오징어조림,오징어조림,100g,137,63.9,16.55,2.37,12.45
오징어채조림,오징어채조림,100g,240,42.7,23.52,4.9,25.36
우엉조림,우엉조림,100g,188,53,4.8,3.33,34.8
장조림_달걀,장조림,100g,138,72.4,9.85,7.12,8.67
장조림_메추리알,장조림,100g,203,63.6,14.25,13.41,6.3
장조림_소고기,장조림,100g,69,82.1,10.41,0.86,4.84
장조림_소고기_메추리알,장조림,100g,157,64.5,11.69,5.39,15.56
쥐포조림,쥐포조림,100g,276,38,13.03,8.86,36.12
코다리조림,코다리조림,100g,86,76.9,16.46,0.4,4.16
콩조림(콩자반),콩조림(콩자반),100g,281,35.3,17.97,7.73,34.83
감자튀김,감자튀김,100g,312,41.2,4.55,17.01,35.15
김튀김,김튀김,100g,522,2.4,11,28.9,54.36
다시마튀각,다시마튀각,100g,462,5.1,8.44,26.52,47.32
닭다리튀김_간장,닭다리튀김,100g,323,41.9,18.86,19.6,17.88
닭튀김_날개,닭튀김,100g,257,54.8,17.17,16.27,10.49
떡강정,떡강정,100g,249,42.3,3.79,4.72,47.89
미역튀각,미역튀각,100g,443,6.2,13.24,33.9,21.14
탕수육_새우,탕수육,100g,116,74.6,6.65,4.2,13.02
가지나물,가지나물,100g,36,91.8,1.42,1.5,4.18
고구마줄기나물,고구마줄기나물,100g,83,86.5,0.98,7,4.1
고사리나물무침,고사리나물무침,100g,90,82.9,3.78,5.52,6.28
고춧잎나물무침,고춧잎나물무침,100g,88,80.4,4.41,4.69,7.14
깻잎나물,깻잎나물,100g,78,85.2,2.68,5.18,5.04
냉이나물,냉이나물,100g,111,73.5,5.02,3.07,15.7
도라지나물무침,도라지나물무침,100g,130,75.4,2.48,7.52,13.12
돌나물무침,돌나물무침,100g,69,85.3,1.66,3.18,8.3
머위대나물무침,머위대나물무침,100g,58,86.7,3.96,2.56,4.76
무나물무침,무나물무침,100g,21,93.9,0.62,0.46,3.64
방풍나물무침,방풍나물무침,100g,76,81.1,4.39,1.73,10.74
배추나물,배추나물,100g,61,86.1,2.01,2.19,8.45
비름나물무침,비름나물무침,100g,73,84.8,3.46,4.05,5.7
숙주나물,숙주나물,100g,35,91.9,2.22,1.58,2.96
시금치나물,시금치나물,100g,69,86.2,3.74,4.46,3.36
시래기나물무침,시래기나물무침,100g,114,78.7,4.32,7.28,7.74
씀바귀나물무침,씀바귀나물무침,100g,97,76.6,3.87,1.73,16.57
열무나물,열무나물,100g,82,83.7,3.91,5.3,4.76
열무나물_된장,열무나물,100g,68,86.1,3.71,4.09,4.09
유채나물,유채나물,100g,96,77.5,5.8,4.6,7.82
참나물,참나물,100g,60,88.5,2.51,3.69,4.14
취나물_된장,취나물,100g,44,89.8,3.08,1.66,4.12
취나물_취나물(마른것),취나물,100g,89,83.3,3.62,5.4,6.4
콩나물무침,콩나물무침,100g,69,86.9,3.86,4.54,3.2
콩나물무침_고춧가루,콩나물무침,100g,93,83.1,3.93,5.93,5.93
토란대나물무침,토란대나물무침,100g,68,85.6,5.14,3.38,4.22
호박오가리나물무침,호박오가리나물무침,100g,201,56.3,6.14,10.01,21.46
가죽나물무침,가죽나물무침,100g,76,80.9,5.83,1.35,10.05
겉절이_배추,겉절이,100g,55,87.6,2.28,2.14,6.58
겉절이_상추,겉절이,100g,61,87.1,2.36,3.41,5.26
겉절이_열무,겉절이,100g,58,85.9,2.4,2.94,5.38
