번호,음식_링크,음식_이름,이미지_링크,원재료 및 원산지,칼로리(kcal),탄수화물(g),단백질(g),총 지방(g)
201,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2278,밥플레이크(스틱),https://ottogi.co.kr/pds/product/2021-04-28_1020195220[10].PNG,쌀100%(외국산),110,25,2,0
202,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2279,오뚜기 고소한 쌀또띠아,https://ottogi.co.kr/pds/product/2021-04-28_1020195220[12].PNG,"*또띠아전용분: [밀가루(밀:호주산,미국산),쇼트닝{팜유(말레이시아산),d-토코페롤(혼합형)},식물성크림, 팽창제, 정제소금],*정제수, *미분(쌀:국산), *유기농설탕, *기타가공품{곤약(중국산),감초추출분말(우주베키스탄)}, *효모",115,21,3,2.3
203,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2280,오뚜기 정통 밀또띠아,https://ottogi.co.kr/pds/product/2021-04-28_1020195220[14].PNG,"*또띠아전용분: [밀가루(밀:호주산,미국산),쇼트닝{팜유(말레이시아산),d-토코페롤(혼합형)},식물성크림, 팽창제, 정제소금],*정제수, *기타가공품{곤약(중국산),감초추출분말(우주베키스탄)}, *효모, *혼합제제[프로필렌클리콜, 합성항료(콩향)]",125,21,4,2.5
204,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2281,오감포차 새우감바스,https://ottogi.co.kr/pds/product/2022-04-26_980935806[31].jpg,"흰다리새우살(베트남산/새우,정제소금,폴리인산나트륨),미니브로컬리(스페인산),엑스트라버진올리브유(스페인산),마늘,정제수,카놀라유,슬라이스 블랙올리브, 정제소금, 청양고추, 변성전분, 백포도주,건조링고추,L-글루탐산나트륨(향미증진제),향미증진제,후추분말,고추분말후레이크,설탕,덱스트린,산도조절제1,산도조절제2,산도조절제3,산도조절제4,파슬리칩",420,13,13,35
205,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2282,오감포차 칠리치즈소시지,https://ottogi.co.kr/pds/product/2022-04-26_980935806[29].jpg,"칵테일소시지[돼지고기 95.64%(지방일부사용/국산), 기타가공품{정제소금(국산)}, 혼합제제1(젖산나트륨, 초산나트륨, 이산화규소), 콜라겐, 혼합제제2(알긴산나트륨,피로인산나트륨,포도당시럽)],더블체다치즈[모짜렐라치즈(외국산),레드체다치즈(외국산),화이트체다치즈,분말셀룰로스],정제수,설탕,홍피망(중국산),물엿,청피망,토마토페이스트,두반장,마늘,슬라이스 할라피뇨 피클, 엑스트라버진올리브유, 카놀라유, 매운칠리소스, 타바스코소스, 변성전분, 생강, 덱스트린, 고춧가루, 후추분말, 레시틴, 오레가노 (우유,대두,밀,돼지고기,토마토,쇠고기 함유)",690,23,33,52
206,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2283,오즈키친 피쉬앤칩스,https://ottogi.co.kr/pds/product/2023-04-17_459522540[1].PNG,"명태살(러시아산), 서류가공품(미국산: 감자, 식물성유지, 덱스트린, 포도당, 산성피로인산나트륨), 정제수, 바삭한배터믹스[소맥분(밀:호주산,미국산), 옥수수전분(옥수수:외국산), 쌀가루, 정제소금, 베이킹파우다(산도조절제,전분)], 대두유, 밀가루, 옥수수전분, 복합씨즈닝분말, 정제소금, 양파분말, 마스킹시즈닝분말",155,17,6,7
207,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2284,오즈키친 쉬림프앤칩스,https://ottogi.co.kr/pds/product/2022-04-26_980933916[47].jpg,"서류가공품(미국산: 감자, 식물성유지, 덱스트린, 포도당, 산성피로인산나트륨), 새우살(외국산: 인도, 인도네시아, 베트남산 등/흰다리새우,정제소금,산도조절제), 생빵가루[밀가루(밀:미국산, 호주산), 쇼트닝(팜유: 말레이시아산), 포도당, 효모, 정제소금], 연육(어육살, 설탕, 폴리인산나트륨), 정제수, 배터파우더-D, 양파, 대두유, 건조빵가루, 감자후레이크, 옥수수전분, 복합씨즈닝분말, 마늘, 설탕, 정제소금, 산도조절제, 새우엑기스분말",200,22,6,10
208,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2285,오즈키친 닭칼국수,https://ottogi.co.kr/pds/product/2022-04-26_980935806[35].jpg,"닭 칼국수 소스: 정제수, 대파(국산), 닭고기(국산), 양파(국산), 마늘, 호박, 홍고추, 닭육수농축액, 카놀라유, 쌀가루, 닭고기육수, 파엑기스, 양파맛분말, 마늘엑기스, 정제소금, 다시마분말, 닭고기 조미분말, 주정, 청양고추, L-글루탐산나트륨(향미증진제), 향미증진제, 복합조미식품, 혼합제제(폴리인산나트륨, 메타인산나트륨, 피로인산나트륨), 후추분오뚜기 칼국수면: 소맥분(밀:호주산,미국산), 변성전분, 감자전분(폴란드산), 폴리글리시톨시럽, 정제소금(국산), 소스, 치자황색소, 알긴산프로필렌글리콜",400,78,14,3.8
209,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2286,오즈키친 육개장칼국수,https://ottogi.co.kr/pds/product/2022-04-26_980935806[33].jpg,"육개장 칼국수 소스: 대파(중국산), 정제수, 토란대(미얀마산), 마늘(중국산), 고추맛기름, 사골엑기스, 고춧가루, 표고버섯, 쇠고기, 파엑기스, 대파기름, 쇠고기다시, 양지국물농축액, 쇠고기육수농축액, 쌀가루, 감칠맛베이스, 마늘엑기스, 양파맛분말, 효모추출물, 복합조미식품, L-글루탐산나트륨(향미증진제), 향미증진제, 정제소금, 후추분, 파프리카추출색소오뚜기 칼국수면: 소맥분(밀:호주산,미국산), 변성전분, 감자전분(폴란드산), 폴리글리시톨시럽, 정제소금(국산), 소스, 치자황색소, 알긴산프로필렌글리콜",430,80,10,8
210,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2287,맛있는 콩비지찌개 250g,https://ottogi.co.kr/pds/product/2021-05-03_801689261[1].jpg,"정제수, 콩비지36%[대두:외국산(미국, 캐나다, 중국 등)], 김치[절임배추(배추:국산),무채(국산),고춧가루(국산),멸치액젓,마늘], 돼지고기(국산), 마늘, 고추분, 정제소금, 카놀라유, 참기름, 식물성분해단백, 향미증진제대두, 돼지고기, 새우, 쇠고기 함유이 제품은 계란, 우유, 밀, 게, 토마토, 닭고기, 오징어, 복숭아, 조개류(굴,전복,홍합 포함)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",135,9,11,6
211,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2288,맛있는 쇠고기 미역국 500g,https://ottogi.co.kr/pds/product/2021-05-03_801689261[3].jpg,"정제수, 쇠고기10%(뉴질랜드산), 건미역1%[미역(국산), 천일염(호주산)], 마늘(국산), 사골엑기스(뉴질랜드산), 정제소금, 참기름, 쇠고기다시, 식물성분해단백, 향미증진제우유, 대두, 밀, 쇠고기 함유이 제품은 계란, 게, 새우, 돼지고기, 토마토, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",135,0,14,9
212,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2289,빠겟도그 칠리미트,https://ottogi.co.kr/pds/product/2022-09-30_654546790[9].jpg,"소시지[돼지고기(지방일부사용,국산),함수결정포도당,정제소금(국산),L-글루탐산나트륨제제{L-글루탐산나트륨(향미증진제),구아닐산이나트륨,이노신산이나트륨},혼합제제(폴리인산나트륨,메타인산나트륨,피로인산나트륨)],칠리미트소스[토마토페이스트(중국산),돼지고기(국산),다이스토마토,양파,슬라이스할라피뇨피클(멕시코산)],밀가루(밀:캐나다산,미국산),쇼트닝,설탕,식물성크림혼합분말,계란,건조효모,정제소금,혼합제제(소맥분,스테아릴젖산나트륨,비타민C,아밀라아제,헤미셀룰라아제),혼합제제(메틸셀룰로스,난소화성말토덱스트린,폴리덱스트로스)]",460,39,15,27
213,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2290,중화풍 게살스프(상온) 270G,https://ottogi.co.kr/pds/product/2021-05-10_48084044[1].jpg,"정제수, 붉은대게살Ⅰ[붉은대게살(국산), 소비톨, L-글루탐산나트륨(향미증진제), 정제소금(국산)], 난백액(이탈리아산), 죽순채(중국산),어묵, 팽이버섯, 변성전분, 말토덱스트린, 붉은대게살Ⅱ(국산), 카놀라유, 양조식초, 치킨엑기스, 정제소금, 옛날참기름, L-글루탐산나트륨(향미증진제), 꽃게액기스[꽃게액기스(꽃게: 국산)] 백후추분, 생강분, 향미증진제, 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨)",85,7,6,3.9
214,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2291,육개장 컵,https://ottogi.co.kr/pds/product/2023-05-10_227036363[3].jpg,"*면:소맥분(밀:미국산,호주산),팜유(말레이시아산),변성전분,글루텐(프랑스산,중국산),기타 식용유지가공품,난각분말,야채풍미액,면류첨가알칼리제(산도조절제),조미마늘엑기스,이스트엑기스,정제소금,녹차풍미유,비타민B2 *스프류:참맛육개장양념분말,양지맛분말,정제소금,설탕,볶음고추분,진한감칠맛분,조미육수분말,마늘양념분말,간장베이스,매운볶음베이스,육개장양념분말,쇠고기다시,향미증진제,포도당,감칠맛베이스,후추분말,불활성건조효모,로스팅육수분말,구아검,고춧가루,칠리추출물,혼합제제(효모추출물,해바라기유),고추농축소스,산도조절제,계란스크램블,건조맛살어묵,조미맛단백,건파",485,64,12,20
215,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2292,X.O.군만두 고기듬뿍,https://ottogi.co.kr/pds/product/2021-06-24_391240604[1].jpg,"돼지고기, 밀가루, 양배추, 부추, 대두단백, 두부, 대파, 옥수수전분, 건조무, 찹쌀가루, 마늘, 굴소스, 양조간장, 쇠고기양념엑기스, 참기름, 설탕, 대두분말, 청주, 쇠고기다시, 표고버섯엑기스, 양파맛분말, 정제소금, 생강, 향미증진제, 아로맥스P, 베이킹파우더, 후추분",835,87,32,40
216,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2293,오즈키친 게살크래미주먹밥,https://ottogi.co.kr/pds/product/2021-06-24_391242475[1].jpg,"쌀(외국산), 크래미[연육(어육:외국산), 소맥전분(밀:외국산), 설탕, 정제소금, 크랩엑기스], 찹쌀(국산), 양파, 청피망, 당근, 홍피망, 카놀라유, 마늘, 붉은대게살, 홍게엑기스분말, 정제소금, 설탕, 양파맛분말, 새우엑기스D, 가쓰오부시추출물, 마요네즈, 볶은양파기름, 복합조미식품, 향미증진제, 후추분",175,31,4,4
217,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2294,오즈키친 소불고기주먹밥,https://ottogi.co.kr/pds/product/2021-06-24_391242475[3].jpg,"쌀(외국산),소불고기양념장[혼합간장(탈지대두:외국산),설탕,기타과당,야채믹스(중국산),파인애플농축액],소고기(호주산),찹쌀(국산),물엿,밥친구야채, 백설탕, 카놀라유,참기름,마요네즈,정제소금,쇠고기다시,양조간장,L-글루탐산나트륨제제[L-글루탐산나트륨(향미증진제,5'리보뉴클레오티드이나트륨],노추,미향,흑후추제분,향미증진제",200,39,5,2.5
218,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2295,간편장아찌소스,https://ottogi.co.kr/pds/product/2021-06-28_1032682888[1].jpg,"양조간장[양조간장원액(탈지대두:인도산),천일염(호주산),기타과당,주정,굴농축액],표고다시마추출액[표고버섯(중국산),건다시마(국산)],정제수,설탕,발효식초(주정,발효영양원),가쓰오부시엑기스[훈연가다랑어농축액{가쓰오부시분말(인도네시아산)},정제소금(국산)],청주,농축매실추출액,효모추출물,마늘엑기스",85,21,1,0
