번호,음식_링크,음식_이름,이미지_링크,원재료 및 원산지,칼로리(kcal),탄수화물(g),단백질(g),총 지방(g)
0,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2003,할라피뇨케챂,https://ottogi.co.kr/pds/product/2019-06-10_696005623[3].jpg,"토마토페이스트43%[외국산(미국,칠레,중국 등)], 정제수, 발효식초(주정,발효영양원),  설탕, 할라피뇨착즙액4.5%[다이스할라피뇨페퍼(멕시코산)], 물엿, 정제소금(국산), 젖산, 청양고추엑기스, 타바스코소스, 고추분, 잔탄검, 효소처리스테비아, 케챂향신료, 합성향료(할라피뇨향) *토마토페이스트 함량은 가용성고형분 25%기준임.",80,18,2,0
1,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2004,리얼 멕시칸 브리또 치폴레살사치킨,https://ottogi.co.kr/pds/product/2022-04-01_785806701[3].jpg,"빵류[또띠아전용분(밀:호주산,미국산,캐나다산),소스(대두유:외국산),효모,혼합제제(프로필렌글리콜,합성향료)],자연치즈[모짜렐라치즈(외국산),분말셀룰로오스],치폴레살사소스18.4%[다이스토마토(미국산),슬라이스할라피뇨피클(멕시코산),토마토페이스트,양파,피망],그릴드치킨6.4%[닭고기91.83%(가슴살,국산),소스,정제소금,혼합제제(폴리인산나트륨,메타인산나트륨,피로인산나트륨)],청피망,양파,할라피뇨,서류가공품,스위트콘",275,31,13,11
2,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2005,오뚜기 짜장면,https://ottogi.co.kr/pds/product/2019-07-02_249643505[1].jpg,"*면:소맥분(밀:호주산,미국산),변성전분,팜유(말레이시아산),감자전분(외국산:덴마크,프랑스,독일 등),글루텐,정제소금,면류첨가알칼리제(산도조절제),양파엑기스,이스트엑기스,비타민B2,녹차풍미유*스프류:짜장조미분말,참맛간짜장분말,설탕,식물성유지,짜장시즈닝분말,양파풍미유,정제소금,포도당,로스팅양파분말,시즈닝분말,양파조미유,복합지미분,양파시즈닝오일,간장베이스,향미증진제,영양강화제,대두단백,조미맛단백,건양파,건양배추,튀김감자다이스,건당근밀,대두,계란,쇠고기,돼지고기,닭고기 함유",580,90,11,20
3,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2006,김치면_용기,https://ottogi.co.kr/pds/product/2021-04-29_160263895[7].jpg,"*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),글루텐,정제소금,난각분말,마늘시즈닝,치킨추출농축액,야채추출물,면류첨가알칼리제(산도조절제),비타민B2,녹차풍미유*스프류:건조김치(중국산),김치양념분말,포도당,옥수수전분,덱스트린,찌개액젓분말,진한감칠맛분,간장분말,참맛매운양념분말,설탕,정제소금,감칠맛베이스,마늘조미분말,조미김치분,쇠고기육수분말,효모조미분,볶음김치양념분말,간장베이스,김치찌개양념분말,유지혼합분말,향미증진제,토마토분말,칠리맛분말,칠리추출물,생강분말,산도조절제,후추분말,매운칠리추출물,건파,건미역-밀,대두,계란,우유,쇠고기,돼지고기,닭고기,토마토,새우,조개류(굴,홍합 포함) 함유-메밀,오징어,게,고등어,땅콩 혼입 가능",470,70,9,17
4,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2007,경양식 돈까스소스,https://ottogi.co.kr/pds/product/2019-07-29_723119817[2].jpg,"정제수, 설탕, 토마토페이스트[외국산(미국,칠레,중국 등)], 쇠고기브이용[쇠고기(뉴질랜드산),당근(중국산)], 양파퓨레(중국산), 사과퓨레, 데미글라스분말, 발효식초, 변성전분, 우스타소스, 정제소금, 리치버터, 적포도주, 비프엑기스, 건조당밀, 마늘, 후추분, 천연향신료, 젖산, 합성향료(비프스프향)",117,26,1,1
5,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2009,미니 양념치킨소스 40g,https://ottogi.co.kr/pds/product/2019-08-20_276675916[1].jpg,"·유형 : 소스(살균제품)·원료명 : 물엿, 토마토케찹 [토마토페이스트(외국산), 물엿, 설탕, 발효식초, 정제소금(국산)], 양파(국산), 설탕, 정제수, 당근(국산), 양조간장, 마늘, 변성전분, 고추분, 정제소금, 후추분 ·알러지유발물질 : 토마토, 대두, 밀, 조개류(굴) 함유",85,21,0,0
6,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2010,오즈키친 토마토 미트볼 250g,https://ottogi.co.kr/pds/product/2020-08-26_773190637[8].png,"쇠고기(뉴질랜드산), 돼지고기(제주산), 다이스토마토(미국산:토마토, 토마토주스, 구연산, 염화칼슘), 정제수, 양송이슬라이스(양송이, 정제소금, 구연산), 콘센트레이티드크러쉬드토마토, 양파, 설탕, 마늘, 빵가루, 조직대두단백, 옥수수유, 식물성유지, 변성전분, 샐러리, 정제소금, 농축대두단백, 쇠고기다시, 후추분, L-글루탐산나트륨(향미증진제), 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨), 향미증진제, 골드브라운하이스, 구연산, 영양강화제, 효모추출물, 합성향료(숯불구이향), 잔탄검, 천연향신료1, 천연향신료2, 바질, 파프리카추출색소, 오레가노, 덱스트린",375,25,30,17
7,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2011,오즈키친 할라피뇨 크림 미트볼 220g,https://ottogi.co.kr/pds/product/2020-08-26_773190637[10].png,"돼지고기(제주산), 정제수, 휘핑크림35[독일산:유크림, 혼합제제(유단백, 전분, 유화제, 결정셀룰로스, 셀룰로스검)], 슬라이스할라피뇨(멕시코산), 양파, 마늘, 빵가루, 조직대두단백, 설탕, 변성전분, 식물성유지, 쇠고기다시, 청양고추, 난황액, 농축대두단백, 향신료조제품, 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨), 정제소금, 향미증진제, 스위트파머산치즈골드, 오뚜기비프시즈닝, 후추분, 잔탄검, 바질, 덱스트린",415,7,29,30
8,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2012,오즈키친 데미글라스 햄버그스테이크 240g,https://ottogi.co.kr/pds/product/2020-08-26_773190637[13].png,"쇠고기(뉴질랜드산), 정제수, 돼지고기(제주산), 양파(국산), 양송이슬라이스(양송이, 정제염, 구연산), 설탕, 빵가루, 콘센트레이티드크러쉬드토마토, 쇠고기브이용, 진한요리크림, 변성전분, 마늘, 조직대두단백, 돈지방, 식물성유지, 적포도주, 버터루, 가공버터, 쇠고기농축액, 농축대두단백, 쇠고기다시, 과일소스, 데미글라스분말, 비프엑기스, 향미증진제, 후추분, 양파맛분말, 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨), 골드브라운하이스, 정제소금, 카라멜색소, 영양강화제, 합성착향료(숯불구이향), 천연향신료, 바질, 오레가노, 덱스트린",365,23,28,18
9,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2013,서울식 쇠고기보양탕,https://ottogi.co.kr/pds/product/2022-06-24_506412547[23].jpg,"정제수, 얼갈이배추(중국산), 쇠고기 9%(뉴질랜드산), 토란대(미얀마산), 대파, 느타리버섯, 깻잎, 양지국물농축액, 사골엑기스, 마늘, 청양고추민스, 들깨가루, 재래된장, 혼합제제(변성전분, 덱스트린), 카놀라유, 고춧가루, 쇠고기다시, 효모추출물, 식물성분해단백, 향미증진제, 정제소금, 영양강화제, 칡즙농축액, 헛개나무열매추출농축액",250,20,20,10
10,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2014,부산식 돼지국밥,https://ottogi.co.kr/pds/product/2022-06-24_506412547[13].jpg,"정제수,돼지전지(외국산:미국,스페인,캐나다 등),돼지삼겹살(외국산:네덜란드,프랑스,칠레 등),돈골농축액[돈골추출액(돈골:국산),정제소금(국산)],사골엑기스,마늘,생강,무추출물분말,효모추출물,향미증진제,커피분말,통후추,월계수잎",290,0,21,23
11,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2015,오늘밥상 바지락새우 순두부찌개양념,https://ottogi.co.kr/pds/product/2020-11-04_289229449[41].JPG,"정제수,물엿,덱스트린,양파(국산),정제소금(국산),고추분(고추:중국산),파,마늘,양조간장,고추맛기름,돼지고기,멸치엑기스,오징어농축액,고추장,새우엑기스,바지락엑기스,양파맛분말,쇠고기다시,향미증진제1,향미증진제2,파프리카추출색소",205,36,2,6
12,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2016,오늘밥상 송탄식 사골 부대찌개양념,https://ottogi.co.kr/pds/product/2020-11-05_289237030[5].JPG,"물엿,정제수,사골엑기스(뉴질랜드산:사골농축액,정제소금),덱스트린,마늘(국산),양조간장[양조간장원액(탈지대두:인도산),천일염(호주산),기타과당,주정,굴농축액],베이크드빈,고추분,정제소금,된장,쇠고기,유크림혼합분,쇠고기다시,햄맛분말,생강,옥수수유,향미증진제,파프리카추출색소,후추분",220,39,7,3.8
13,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2017,오늘밥상 얼큰비법 매운탕양념,https://ottogi.co.kr/pds/product/2020-11-05_289237030[7].JPG,"정제수,고추장[물엿,혼합양념(중국산),소맥분(밀:미국산,호주산),밀쌀,정제소금],물엿,고추분(고추:중국산),파엑기스(파:국산),아미노베이스,혼합양념,마늘,정제소금,멸치엑기스,양조간장,양파퓨레,L-글루탐산나트륨(항미증진제),다시마분말,대파기름,해물맛베이스,설탕,고추맛기름,쇠고기다시",210,38,6,3.7
14,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2018,오늘밥상 정통 사천식 마파두부양념,https://ottogi.co.kr/pds/product/2020-11-04_289229449[43].JPG,"물엿,정제수,돼지고기(국산),홍고추(국산),고추장[혼합양념(중국산),소맥분(밀:미국산,호주산)],옥수수유,굴소스,두반장,청주,마늘,된장,파,변성전분,설탕,생강,조미간장분,고추분,감칠맛베이스,정제소금,참기름,고추맛기름,후추분,쇠고기다시,효모추출물,복합아미노산,합성향료(립향),향신식물,파프리카추출색소",245,36,5,9
15,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2019,오늘밥상 차돌 된장찌개양념,https://ottogi.co.kr/pds/product/2020-11-04_289229449[45].JPG,"된장1[대두(외국산),천일염(호주산),주정,종국],덱스트린,된장2[대두(외국산),소맥분(밀:미국산,호주산),천일염,밀분해농축액,주정],물엿,정제수,차돌양지(뉴질랜드산),고추장,멸치엑기스,마늘,옥수수유,사골엑기스,정제소금,양파,설탕,고추분,가쓰오부시추출물,표고버섯엑기스,향미증진제",280,41,11,8
16,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2020,프레스코 알리오올리오 파스타 소스,https://ottogi.co.kr/pds/product/2021-04-20_671244888[11].jpg,"정제수, 해바라기유(외국산:우크라이나, 말레이시아, 스페인 등), 압착올리브유(스페인산), 마늘(국산), 화이트와인, 혼합제제(변성전분, 설탕, 덱스트린), 치킨엑기스에스, 슬라이스올리브, 혼합제제(변성전분, 덱스트린), 조개추출분말, 바지락엑기스, 감칠맛베이스, 정제소금, 마늘엑기스, 설탕, L-글루탐산나트륨(향미증진제), 후추, 건조링고추, 바질, 토코페롤(혼합형), 타마린드검, 향미증진제, 오레가노",230,12,0,20
17,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2022,오즈키친 전복죽,https://ottogi.co.kr/pds/product/2020-11-04_289229449[19].JPG,"정제수,멥쌀(국산),전복(필리핀산),양파(국산),찹쌀,새송이버섯,표고버섯,다시마엑기스,참기름,옥수수유,전복엑기스,멸치엑기스,양파맛분말,돈골농축액,꽃소금,설탕,마늘,복합조미식품,식물성분해단백,향미증진제,d-토코페롤(혼합형)",255,46,7,5
18,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2023,오즈키친 영양닭죽,https://ottogi.co.kr/pds/product/2022-03-16_153756646[1].JPG,"정제수,닭가슴살(국산),멥쌀(국산),찹쌀(국산),닭고기육수,양파,귀리,당근,옥수수유,닭육수농축액,파,마늘,인삼페이스트,참기름,닭고기조미분말,식물성분해단백,향미증진제,효모추출물,난각분말,후추분,정제소금,혼합제제(폴리인산나트륨,피로인산나트륨,메타인산나트륨),d-토코페롤(혼합형)",310,54,13,4.7
19,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2024,오즈키친 단호박죽,https://ottogi.co.kr/pds/product/2022-03-16_153756646[5].JPG,"정제수,단호박24%(중국산),단호박다이스8%(중국산),감로자다이스(밤:중국산),강낭콩,설탕,쌀가루,찹쌀가루,변성전분,덱스트린,정제소금,난각분말",385,56,6,15
20,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2025,오즈키친 동지팥죽,https://ottogi.co.kr/pds/product/2020-11-04_289229449[15].JPG,"정제수,팥12%(중국산),가당팥앙금[적물앙금(팥:중국산),설탕,물엿,D-소비톨액,변성전분,정제소금(국산)],감로자다이스(밤:중국산),변성전분,찹쌀,멥쌀,설탕,검정찰현미,정제소금,덱스트린",495,92,16,7
21,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2029,오즈키친 철판감자탕볶음밥,https://ottogi.co.kr/pds/product/2019-11-08_613161200[1].jpg,"철판감자탕 볶음밥-쌀(외국산), 무청(중국산), 돼지고기(국산), 카놀라유, 누룽지, 감자, 돈골농축액, 고추장, 깻잎, 들깨가루, 마늘, 양조간장, 물엿, 된장, 참기름, 쇠고기다시, 고춧가루, 양파맛분말, 청주, 오뚜기비프시즈닝, 후추분, 향미증진제김참깨고명스프-볶은참깨, 김후레이크",515,75,11,19
22,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2030,오즈키친 철판낙지볶음밥,https://ottogi.co.kr/pds/product/2019-11-08_613161156[1].jpg,"철판낙지 볶음밥-쌀(외국산), 낙지(베트남산), 누룽지(쌀:외국산), 정제수, 대파, 양조간장, 카놀라유, 양배추, 설탕, 고추장, 고춧가루1, 당근, 마늘, 오징어농축액, 양파맛분말, 쇠고기다시, 가쓰오부시추출물, 정제소금, 참기름, 고춧가루2, 후추분김참깨고명스프-볶은참깨, 김후레이크",435,82,9,8
23,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2031,오늘밥상 안동찜닭양념,https://ottogi.co.kr/pds/product/2020-11-04_289229449[39].JPG,"양조간장[양조간장원액(탈지대두:인도산),천일염(호주산),기타과당,주정,굴농축액],설탕,물엿,야채믹스(중국산:양파,마늘,대파),춘장[밀가루(밀:미국산,호주산),대두(외국산),정제수,파인애플농축액,정제소금,고추분,양파엑기스,청주.배농축액,표고버섯엑기스,마늘엑기스,감칠맛베이스,치킨엑기스-S,생강분,향미증진제,짜장분,잔탄검,후추분,순카레",430,102,5,0
24,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2032,갈릭아이올리소스,https://ottogi.co.kr/pds/product/2019-11-08_613161223[1].jpg,"식물성유지[외국산(아르헨티나,미국,중국 등)], 정제수, 발효식초, 마늘2.5%(국산), 마늘엑기스2.5%(마늘69.5%:중국산),난황액, 설탕, 구운마늘분0.8%, 홀그레인머스타드, 정제소금, 정제포도당, 타마린드검, 천연향료(마늘), 향미유, 식물성분해단백, 잔탄검, 젤란검, 효소제제",620,6,1,66
25,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2033,오라면,https://ottogi.co.kr/pds/product/2019-11-06_185569419[1].jpg,"*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),감자전분(외국산:덴마크,프랑스,독일 등),글루텐,정제소금,야채풍미액,조미마늘엑기스,난각분말,면류첨가알칼리제(산도조절제),녹차풍미유,비타민B2*스프류:참맛장조림분말,조미육수분말,간장베이스,정제소금,효모,설탕,구수한맛분말,포도당,후추분말,비프조미분말,야채양념분말,효모추출조미분말,참맛효모조미분말,조미야채분말,칠리맛분말,양지사태조미분말,로스팅육수분말,향미증진제,고춧가루,칠리추출물,산도조절제,건미역,계란후레이크",535,84,12,17
26,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2034,뿌셔땅 매콤양념치킨맛,https://ottogi.co.kr/pds/product/2019-11-14_608435124[1].jpg,"뿌셔땅면[소맥분(밀:미국산,호주산),팜유(말레이시아산),변성전분,감자전부느알파옥수수분말],달콤조청[물엿,설탕,쌀조청,마가린{팜유(말레이시아산)},한천(국산)],쌀(국산),매콤양념치킨시즈닝분말",305,55,3,8
27,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2036,뿌셔땅 카라멜맛,https://ottogi.co.kr/pds/product/2019-11-14_608435124[3].jpg,"뿌셔땅면[소맥분(밀:미국산,호주산),팜유(말레이시아산),변성전분,감자전부느알파옥수수분말],달콤조청[물엿,설탕,쌀조청,마가린{팜유(말레이시아산)},한천(국산)],쌀(국산),카라멜시즈닝분말",295,55,3,7
28,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2037,뿌셔땅 플레인,https://ottogi.co.kr/pds/product/2019-11-14_608435124[5].jpg,"뿌셔땅면[소맥분(밀:미국산,호주산),팜유(말레이시아산),변성전분,감자전부느알파옥수수분말],달콤조청[물엿,설탕,쌀조청,마가린{팜유(말레이시아산)},한천(국산)],쌀(국산)",305,55,3,8
29,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2038,6 포르마지 피자,https://ottogi.co.kr/pds/product/2019-11-21_604063404[1].jpg,"밀가루(밀:미국산, 캐나다산), 포르마지피자치즈 21.45%[모짜렐라치즈 59.3%(외국산), 프렌치에멘탈치즈 25%(프랑스산), 체다치즈10%(외국산), 고다치즈 5%(외국산), 분말셀룰로스],정제수, 포르마지피자소스11.79%[과채가공품(이탈리아산), 토마토페이스트(중국산), 포도당, 설탕, 양파], 코다노후레쉬모짜슬라이즈치즈10.72%(미국산:프레쉬모짜렐라커드), 식물성유지, 파마산치즈 1.72%(호주산), 설탕, 탈지분유, 효모, 정제소금",410,43,19,18
30,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2039,올미트콤보 피자,https://ottogi.co.kr/pds/product/2019-11-21_604063404[5].jpg,"밀가루(밀:미국산 캐나다산), 피자치즈19.99%[모짜렐라치즈(외국산), 고다치즈(외국산), 분말셀룰로스], 정제수, 콤보피자소스10.99%[토마토페이스트(중국산), 기타과당, 설탕, 변성전분, 발효식초(겉보리:미국산)],허브슬라이스서제가루(밀:미국산 캐나다산), 피자치즈19.99%[모짜렐라치즈(외국산), 고다치즈(외국산), 분말셀룰로스], 정제수, 콤보피자소스10.99%[토마토페이스트(중국산), 기타과당, 설탕, 변성전분, 발효식초(겉보리:미국산)],허브슬라이스소세지4.6%, 화이트소시지3.2%, 선진포크미트햄D 3%,식물성유지, 스모크햄 2%, 블랙메르게즈볼 2%, 양파, 사각페페로니토핑 1.4%, 설탕, 탈지분유, 효모, 정제소금, 로스티드풍미유",390,40,17,18
31,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2040,쉬림프&스테이크 피자,https://ottogi.co.kr/pds/product/2019-11-21_604063404[7].jpg,"밀가루(밀:미국산, 캐나다산), 피자치즈[모짜렐라치즈(외국산), 고다치즈(외국산), 분말셀룰로스], 정제수, 허니머스타드피자소스[마요네즈(식물성유지:외국산), 조제겨자(미국산), 설탕, 기타과당, 발효식초], 페퍼스테이크토핑 8.14%[소고기, 블랙페퍼소스-에스제이, 기타과당, 설탕, 미향], 로스트양파, 새우 3.26%(베트남산), 식물성유지, 그린빈볶음, 설탕, 탈지분유, 효모, 정제소금, 갈릭칩",380,42,15,17
32,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2041,머쉬룸&스테이크 피자,https://ottogi.co.kr/pds/product/2019-11-21_604063404[9].jpg,"밀가루(밀:미국산, 캐나다산), 피자치즈[모짜렐라치즈(외국산), 고다치즈(외국산), 분말셀룰로스], 정제수, 스테이크피자소스 10.8%[물엿, 우스타소스(정제소금:국산), 토마토케첩(토마토페이스트:외국산), 토마토페이스트, 혼합과일소스], 갈릭버터스테이크6.87%[소고기, 선진갈릭버터소스, 다진마늘, 자연치즈, 혼합제제1{폴리인산나트륨, 피로인산나트륨, 말토덱스트린, 정제소금, 프로테아제(세균성), 메타인산나트륨, 식물성유지, 파프리카추출색소}], 로스트혼합버섯3.93%[새송이버섯39.2%(중국산), 양송이버섯39.2%(중국산), 만가닥버섯19.6%(중국산)], 로스트양파, 식물성유지, 냉동슈퍼스위트콘, 그린빈볶음, 로스트파프리카, 바싹불고기, 설탕, 탈지분유, 효모, 정제소금",335,38,14,14
33,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2042,X.O. 교자,https://ottogi.co.kr/pds/product/2022-04-27_980944631[1].jpg,"돼지고기(국산),밀가루(밀:미국산,캐나다산,호주산)부추(국산),양배추,양파,두부,쇠고기,새송이버섯, 혼합제제1(변성전분,말토텍스트린),대파,혼합제제2(변성전분,말토텍스트린),녹차풍미액,참기름,,변성전분,굴소스, 송화버섯,설탕,대두단백,마늘,향미유,무말랭이,정제소금,생강,아미글루텐,카놀라유,육수추출농축액,혼합제제3(폴리인산나트륨,메타인산칼륨),청주,쇠고기양념엑기스,치킨엑기스,쇠고기다시,씨푸드X.O소스,흑후추분말,감칠맛베이스,양파맛분말,향미증진제",635,61,30,36
34,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2043,X.O. 교자 새우&홍게살,https://ottogi.co.kr/pds/product/2022-04-27_980944631[3].jpg,"돼지고기(국내산), 밀가루(밀:미국산, 캐나다산, 호주산), 새우7.92%(베트남산), 양배추, 양파, 홍게맛살3.61%, 홍게살3.21%, 혼합제제1(변성전분,말토덱스트린), 죽순, 대파, 곡류가공품, 참기름, 변성전분, 연육, 마늘, 향미유, 굴소스, 설탕, 새우엑기스0.52%, 가쓰오부시추출물, 정제소금, 생강, 홍게엑기스분말0.32%, 새우풍미유0.20%, 양파퓨레, 후추분, 복합조미식품, 육수추출농축액, 혼합제제2(폴리인산나트륨, 메타인산칼륨), 미향, 씨푸드XO소스0.1%, 향미증진제, 카놀라유, 유화유지",755,66,31,41
35,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2044,X.O. 이북식 손만두,https://ottogi.co.kr/pds/product/2022-04-26_980933912[8].jpg,"돼지고기(국산), 밀가루(밀:미국산,캐나다산,호주산), 두부[대두분,(외국산),두부응고제,혼합제제(정제수,규소수지,폴리소르베이트65,소르비탄지방산에스테르,셀룰로스검)], 양파, 대파, 숙주, 혼합제제(변성전분,말토덱스트린), 변성전분, 참기름, 부추, 대두단백, 마늘, 정제소금, 설탕, 복합조미식품, 생강, 유화유지, L-글루탐산나트륨제제[L-글루탐산나트륨(향미증진제),5'-리보뉴클레오티드이나트륨], 흑후추분말",960,84,37,53
36,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2045,X.O. 통새우 군만두,https://ottogi.co.kr/pds/product/2022-05-24_529838363[1].jpg,"돼지고기(국산),새우16.69%(베트남산),밀가루(밀:미국산,호주산),변성전분,부추,양파,옥수수전분,참기름,새우엑기스,마늘,설탕,정제소금,해물양념소스,유화유지,L-글루탐산나트륨제제[L-글루탐산나트륨(향미증진제),향미증진제],감칠맛베이스,진한감칠맛분말,후추분",590,61,23,28
37,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2046,X.O. 교자 동파육,https://ottogi.co.kr/pds/product/2019-11-21_817800926[9].jpg,"돼지고기(국산),밀가루(밀:미국산,캐나다산,호주산),양배추(국산),동파풀드포크[돼지고기(앞다리살),풀드포크페이스트,아세틸아디핀산이전분,양파농축액,클로브],양파,청경채,대파,혼합제제1(변성전분,말토덱스트린),프리미엄노추,변성전분,설탕,두류가공품,마늘,참기름,생강,향미유,미향,복합조미식품1,카놀라유,정제소금,유화유지,굴소스,복합조미식품2,혼합제제2(폴리인산나트륨,피로인산나트륨,메타인산나트륨),후추분,복합조미식품3,향미증진제,팔각",720,69,32,35
38,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2048,X.O. 물만두,https://ottogi.co.kr/pds/product/2022-04-26_980933912[16].jpg,"돼지고기(국산), 밀가루(밀:미국산,캐나다산,호주산), 부추(국산), 양배추, 양파, 대파, 두부, 혼합제제1(변성전분,말토덱스트린), 참기름, 대두단백, 변성전분, 육수추출농축액, 마늘, 양조간장, 찹쌀가루, 설탕, 정제소금, 아미글루텐, 굴소스, 치킨엑기스S, 유화유지, 혼합제제2(폴리인산나트륨,메타인산칼륨), 생강, 된장, 복합조미식품, L-글루탐산나트륨제제[L-글루탐산나트륨(향미증진제),5'-리보뉴클레오티드이나트륨], 흑후추분말, 씨푸드XO소스",920,81,37,50
39,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2049,X.O. 굴림만두 고기,https://ottogi.co.kr/pds/product/2022-04-26_980933912[18].jpg,"돼지고기(국산),두부[대두(외국산),응고제,혼합제제(규소수지,유화제,셀룰로오스검)],양배추(국산),양파,부추,대파,두류가공품,난백,소맥전분,마늘,건조무,대두분,참기름,밀가루,생강,설탕,복합조미식품,양조간장,정제소금,L-글루탐산나트륨제제[L-글루탐산나트륨(향미증진제),향미증진제],혼합제제(폴리인산나트륨,메타인산칼륨),향미증진제,쇠고기다시,후추분",645,26,39,43
40,https://ottogi.co.kr/product/product_view.asp?page=1&hcode=&mcode=&stxt=&orderby=NEW&idx=2050,X.O. 굴림만두 김치,https://ottogi.co.kr/pds/product/2022-04-26_980933912[20].jpg,"돼지고기(국산),포기김치[배추(국산),무(국산),고춧가루(국산),찹쌀풀,마늘],맛김치[배추(국산),고춧가루(국산),새우젓(국산),멸치액젓,마늘],두부[대두,응고제,혼합제제(규소수지,유화제,셀룰로스검)],양배추,양파,부추,대파,두류가공품,소맥전분,마늘,대두분,숙성김치베이스,밀가루,참기름,변성전분,설탕,김치씨즈닝분말,생강,두반장,복합조미식품,양조간장,고추분,L-글루탐산나트륨제제[L-글루탐산나트륨(향미증진제),향미증진제],혼합제제(폴리인산나트륨,메타인산칼륨),정제소금,후추분",625,33,35,39
